actual_category,predicted_position,skills,education,experience,companies,id
Operations Manager,Operations Manager,"MS Office, Internet Applications, ERP systems (SAGE, Flotilla, LM ERP, Tally 9, WMS, Exceed 4000), Employee Resource Group, Enterprise Resource Planning, Operations Management, Supply Chain Logistics, Shipping, Imports, Warehousing, Distribution, Vendor Negotiation, Freight Management, Logistics Management, Customs Clearance, Inventory Management, Purchasing, Procurement, Vendor Development, Customer Service, MIS Reporting, Cash Transactions, HR Functions (Recruitment, Interviewing), Export Coordination, Documentation, Billing, Customer Relationship Management, Tracking and Tracing, Problem Solving, ISO Standards, Stock Control, Data Management, Invoicing, Banking, Petty Cashiering","B.Com commerce from Bombay University, Mumbai, Maharashtra; DIM Business Management from IGNOU","Experienced Operations Manager with a strong background in logistics, supply chain, and administrative functions across various industries including insurance, travel, hotel supplies, and freight forwarding. Proven ability to lead teams, manage complex operations, optimize processes, negotiate with vendors, and ensure customer satisfaction. Skilled in ERP systems, financial management, and HR functions. Demonstrated success in streamlining operations, reducing costs, and improving efficiency.",,742
Operations Manager,Operations Manager,"Project Management, Operations Management, Team Leadership, Client Relationship Management, Budget Monitoring, Quality Management, Contract Management, Risk Management, Project Planning, Scheduling, Technical Support, Proposal Development, System Configuration, Application Development, Hardware Engineering, Software Engineering, HMI Development, Testing (Integrated Testing, FAT, Pre-FAT), Documentation, Resource Management, PLC, SCADA, DCS, SIS, FGS, EPKS, TPS, SAP, ISO 9001:2008, Internal Auditing, Communication, Teamwork, Prioritization, Problem Solving, Negotiation, Technical Advising","B.E Electronics, Pune University, August 2000","Experienced Operations Manager with a strong background in project execution and team leadership within the industrial automation and control systems sector. Proven ability to manage complex projects from inception to closeout, including scope review, budget control, client liaison, and quality assurance. Skilled in leading cross-functional teams, optimizing operational efficiency, and ensuring client satisfaction. Prior experience includes significant roles at Delta Controls, Honeywell Automation India Ltd, FOX CONTROLS, and Enercon (India) Limited, where responsibilities ranged from managing large-scale automation projects and leading engineering teams to establishing new business operations and implementing quality management systems. Expertise in various control systems (DCS, SIS, FGS, PLC, SCADA) and project methodologies.",,743
Operations Manager,Operations Manager,"Operations Management, Project Management, Transitions Management, Talent Management, Client KYC, Compliance Monitoring, SOP Drafting, Contract Review, Metrics Reporting, Stakeholder Coordination, Risk and Control Self Assessments (RCSA), Root Cause Analysis, Service Delivery Management, Performance Management, Goal Setting, Hiring, Resource Management, Employee Assistance Program (EAP), Performance Appraisals, Training and Development, E-learning, Brainshark Presentations, Business Vision Communication, Program Metrics, Dashboard Creation, Team Leadership, IT Architecture Collaboration, Project Management Framework Adherence, Application Access Management, Post-project Reviews, Organization Design, Career Path Development, Skill-gap Analysis, Rewards and Recognition Programs, Technical Support, Troubleshooting, Siebel CRM, Proactive Monitoring, MIS Reporting, System Deployment, Application Health Checks, Database Replication, SQL Server Replication, Help Desk Management, Knowledge Base Management, Account Receivables, Credit Control, Escalation Handling, Ledger/Accounts Review, Order Release, Inter-departmental Communication, Mentoring, Conference Call Leadership, Team Motivation, Outbound Calls, Email Communication, Delinquent Payment Collection, One Point Lessons, Performance Reporting, HR SPOC",BCA - Vinayaka Missions University,"Experienced Operations Manager with a strong background in financial services and technology. Proven ability to lead and develop teams, manage daily operations, and drive strategic initiatives. Expertise in operations management, project management, talent management, and client relationship management. Skilled in process improvement, risk management, and performance optimization. Previous roles include Operations Manager at BNY Mellon International Operations (India) Pvt. Ltd., Application Support Engineer Tier II at Wipro Technologies (Client: Microsoft), Account Receivables Senior Associate at Dell Global Financial Services, and a role at GE Capital International Services (GECIS) focusing on delinquent payment collection and team support.",,744
Operations Manager,Operations Manager,"Multi-Operations Management, People Management, Customer Services (Emails), MIS, Vendor & Client Services Management, Cross Functional Coordination, Banking & Financial Services, Transaction Monitoring, ATM Operations, Prepaid Card Operations (Pre-Issuance & Post-Issuance), POS Operations, Communication, Relationship Building, Interpersonal Skills, Analytical, Problem Solving, Organizational Abilities, Leadership, Customer Centric Operations, Service Quality, Risk Analysis, Delinquency Management, Training & Development, SLA Adherence, Field Services Monitoring, Vendor Payment Processing, Project Management, CTL prime, Insight, Ticket Management System, Branch Portal, PIN Generation, Chargeback Cases, Email Customer Services, Transaction Monitoring, BCP Plans, Quality Management, External Audit, Coaching, Mentoring, Process Improvement, PR & DR, KYC document collection, Stock Management, Terminal Deployment, Inward/Outward/QC of applications, Phone Banking, Correspondence","Commerce, Mumbai University","Extensive experience in operations management within the payment industry, particularly with prepaid cards and POS operations. Held roles such as Manager - Operations and Service Manager - Operations, demonstrating leadership in managing teams, ensuring customer satisfaction, optimizing processes, and handling vendor/client relationships. Proficient in back-end banking operations, risk management, and training. Experienced with various software systems for credit cards, POS machines, ATM NOC, and prepaid cards. Also has experience in customer service roles including email, phone banking, and correspondence.",,745
Operations Manager,Operations Manager,"MS Office, Internet Applications, ERP systems (SAGE, Flotilla, LM ERP, Tally 9, WMS, Exceed 4000), Employee Resource Group, Enterprise Resource Planning, Operations Management, Supply Chain Logistics, Shipping, Imports, Warehousing, Distribution, Vendor Negotiation, Freight Management, Logistics Management, Customs Clearance, Inventory Management, Purchasing, Procurement, Vendor Development, Customer Service, MIS Reporting, Cash Transactions, HR Functions (Recruitment, Interviewing), Export Coordination, Documentation, Billing, Customer Relationship Management, Tracking and Tracing, Problem Solving, ISO Standards, Stock Control, Data Management, Invoicing, Banking, Petty Cashiering","B.Com commerce from Bombay University, Mumbai, Maharashtra; DIM Business Management from IGNOU","Experienced Operations Manager with a strong background in logistics, supply chain, and administrative functions across various industries including insurance, travel, hotel supplies, and freight forwarding. Proven ability to lead teams, manage complex operations, optimize processes, negotiate with vendors, and ensure customer satisfaction. Skilled in ERP systems, financial management, and HR functions. Demonstrated success in streamlining operations, reducing costs, and improving efficiency.",,746
Operations Manager,Operations Manager,"Project Management, Operations Management, Team Leadership, Client Relationship Management, Budget Monitoring, Quality Management, Contract Management, Risk Management, Project Planning, Scheduling, Technical Support, Proposal Development, System Configuration, Application Development, Hardware Engineering, Software Engineering, HMI Development, Testing (Integrated Testing, FAT, Pre-FAT), Documentation, Resource Management, PLC, SCADA, DCS, SIS, FGS, EPKS, TPS, SAP, ISO 9001:2008, Internal Auditing, Communication, Teamwork, Prioritization, Problem Solving, Negotiation, Technical Advising","B.E Electronics, Pune University, August 2000","Experienced Operations Manager with a strong background in project execution and team leadership within the industrial automation and control systems sector. Proven ability to manage complex projects from inception to closeout, including scope review, budget control, client liaison, and quality assurance. Skilled in leading cross-functional teams, optimizing operational efficiency, and ensuring client satisfaction. Prior experience includes significant roles at Delta Controls, Honeywell Automation India Ltd, FOX CONTROLS, and Enercon (India) Limited, where responsibilities ranged from managing large-scale automation projects and leading engineering teams to establishing new business operations and implementing quality management systems. Expertise in various control systems (DCS, SIS, FGS, PLC, SCADA) and project methodologies.",,747
Operations Manager,Operations Manager,"Operations Management, Project Management, Transitions Management, Talent Management, Client KYC, Compliance Monitoring, SOP Drafting, Contract Review, Metrics Reporting, Stakeholder Coordination, Risk and Control Self Assessments (RCSA), Root Cause Analysis, Service Delivery Management, Performance Management, Goal Setting, Hiring, Resource Management, Employee Assistance Program (EAP), Performance Appraisals, Training and Development, E-learning, Brainshark Presentations, Business Vision Communication, Program Metrics, Dashboard Creation, Team Leadership, IT Architecture Collaboration, Project Management Framework Adherence, Application Access Management, Post-project Reviews, Organization Design, Career Path Development, Skill-gap Analysis, Rewards and Recognition Programs, Technical Support, Troubleshooting, Siebel CRM, Proactive Monitoring, MIS Reporting, System Deployment, Application Health Checks, Database Replication, SQL Server Replication, Help Desk Management, Knowledge Base Management, Account Receivables, Credit Control, Escalation Handling, Ledger/Accounts Review, Order Release, Inter-departmental Communication, Mentoring, Conference Call Leadership, Team Motivation, Outbound Calls, Email Communication, Delinquent Payment Collection, One Point Lessons, Performance Reporting, HR SPOC",BCA - Vinayaka Missions University,"Experienced Operations Manager with a strong background in financial services and technology. Proven ability to lead and develop teams, manage daily operations, and drive strategic initiatives. Expertise in operations management, project management, talent management, and client relationship management. Skilled in process improvement, risk management, and performance optimization. Previous roles include Operations Manager at BNY Mellon International Operations (India) Pvt. Ltd., Application Support Engineer Tier II at Wipro Technologies (Client: Microsoft), Account Receivables Senior Associate at Dell Global Financial Services, and a role at GE Capital International Services (GECIS) focusing on delinquent payment collection and team support.",,748
Operations Manager,Operations Manager,"Multi-Operations Management, People Management, Customer Services (Emails), MIS, Vendor & Client Services Management, Cross Functional Coordination, Banking & Financial Services, Transaction Monitoring, ATM Operations, Prepaid Card Operations (Pre-Issuance & Post-Issuance), POS Operations, Communication, Relationship Building, Interpersonal Skills, Analytical, Problem Solving, Organizational Abilities, Leadership, Customer Centric Operations, Service Quality, Risk Analysis, Delinquency Management, Training & Development, SLA Adherence, Field Services Monitoring, Vendor Payment Processing, Project Management, CTL prime, Insight, Ticket Management System, Branch Portal, PIN Generation, Chargeback Cases, Email Customer Services, Transaction Monitoring, BCP Plans, Quality Management, External Audit, Coaching, Mentoring, Process Improvement, PR & DR, KYC document collection, Stock Management, Terminal Deployment, Inward/Outward/QC of applications, Phone Banking, Correspondence","Commerce, Mumbai University","Extensive experience in operations management within the payment industry, particularly with prepaid cards and POS operations. Held roles such as Manager - Operations and Service Manager - Operations, demonstrating leadership in managing teams, ensuring customer satisfaction, optimizing processes, and handling vendor/client relationships. Proficient in back-end banking operations, risk management, and training. Experienced with various software systems for credit cards, POS machines, ATM NOC, and prepaid cards. Also has experience in customer service roles including email, phone banking, and correspondence.",,749
Operations Manager,Operations Manager,"MS Office, Internet Applications, ERP systems (SAGE, Flotilla, LM ERP, Tally 9, WMS, Exceed 4000), Employee Resource Group, Enterprise Resource Planning, Operations Management, Supply Chain Logistics, Shipping, Imports, Warehousing, Distribution, Vendor Negotiation, Freight Management, Logistics Management, Customs Clearance, Inventory Management, Purchasing, Procurement, Vendor Development, Customer Service, MIS Reporting, Cash Transactions, HR Functions (Recruitment, Interviewing), Export Coordination, Documentation, Billing, Customer Relationship Management, Tracking and Tracing, Problem Solving, ISO Standards, Stock Control, Data Management, Invoicing, Banking, Petty Cashiering","B.Com commerce from Bombay University, Mumbai, Maharashtra; DIM Business Management from IGNOU","Experienced Operations Manager with a strong background in logistics, supply chain, and administrative functions across various industries including insurance, travel, hotel supplies, and freight forwarding. Proven ability to lead teams, manage complex operations, optimize processes, negotiate with vendors, and ensure customer satisfaction. Skilled in ERP systems, financial management, and HR functions. Demonstrated success in streamlining operations, reducing costs, and improving efficiency.",,750
Operations Manager,Operations Manager,"Project Management, Operations Management, Team Leadership, Client Relationship Management, Budget Monitoring, Quality Management, Contract Management, Risk Management, Project Planning, Scheduling, Technical Support, Proposal Development, System Configuration, Application Development, Hardware Engineering, Software Engineering, HMI Development, Testing (Integrated Testing, FAT, Pre-FAT), Documentation, Resource Management, PLC, SCADA, DCS, SIS, FGS, EPKS, TPS, SAP, ISO 9001:2008, Internal Auditing, Communication, Teamwork, Prioritization, Problem Solving, Negotiation, Technical Advising","B.E Electronics, Pune University, August 2000","Experienced Operations Manager with a strong background in project execution and team leadership within the industrial automation and control systems sector. Proven ability to manage complex projects from inception to closeout, including scope review, budget control, client liaison, and quality assurance. Skilled in leading cross-functional teams, optimizing operational efficiency, and ensuring client satisfaction. Prior experience includes significant roles at Delta Controls, Honeywell Automation India Ltd, FOX CONTROLS, and Enercon (India) Limited, where responsibilities ranged from managing large-scale automation projects and leading engineering teams to establishing new business operations and implementing quality management systems. Expertise in various control systems (DCS, SIS, FGS, PLC, SCADA) and project methodologies.",,751
Operations Manager,Operations Manager,"Operations Management, Project Management, Transitions Management, Talent Management, Client KYC, Compliance Monitoring, SOP Drafting, Contract Review, Metrics Reporting, Stakeholder Coordination, Risk and Control Self Assessments (RCSA), Root Cause Analysis, Service Delivery Management, Performance Management, Goal Setting, Hiring, Resource Management, Employee Assistance Program (EAP), Performance Appraisals, Training and Development, E-learning, Brainshark Presentations, Business Vision Communication, Program Metrics, Dashboard Creation, Team Leadership, IT Architecture Collaboration, Project Management Framework Adherence, Application Access Management, Post-project Reviews, Organization Design, Career Path Development, Skill-gap Analysis, Rewards and Recognition Programs, Technical Support, Troubleshooting, Siebel CRM, Proactive Monitoring, MIS Reporting, System Deployment, Application Health Checks, Database Replication, SQL Server Replication, Help Desk Management, Knowledge Base Management, Account Receivables, Credit Control, Escalation Handling, Ledger/Accounts Review, Order Release, Inter-departmental Communication, Mentoring, Conference Call Leadership, Team Motivation, Outbound Calls, Email Communication, Delinquent Payment Collection, One Point Lessons, Performance Reporting, HR SPOC",BCA - Vinayaka Missions University,"Experienced Operations Manager with a strong background in financial services and technology. Proven ability to lead and develop teams, manage daily operations, and drive strategic initiatives. Expertise in operations management, project management, talent management, and client relationship management. Skilled in process improvement, risk management, and performance optimization. Previous roles include Operations Manager at BNY Mellon International Operations (India) Pvt. Ltd., Application Support Engineer Tier II at Wipro Technologies (Client: Microsoft), Account Receivables Senior Associate at Dell Global Financial Services, and a role at GE Capital International Services (GECIS) focusing on delinquent payment collection and team support.",,752
Operations Manager,Operations Manager,"Multi-Operations Management, People Management, Customer Services (Emails), MIS, Vendor & Client Services Management, Cross Functional Coordination, Banking & Financial Services, Transaction Monitoring, ATM Operations, Prepaid Card Operations (Pre-Issuance & Post-Issuance), POS Operations, Communication, Relationship Building, Interpersonal Skills, Analytical, Problem Solving, Organizational Abilities, Leadership, Customer Centric Operations, Service Quality, Risk Analysis, Delinquency Management, Training & Development, SLA Adherence, Field Services Monitoring, Vendor Payment Processing, Project Management, CTL prime, Insight, Ticket Management System, Branch Portal, PIN Generation, Chargeback Cases, Email Customer Services, Transaction Monitoring, BCP Plans, Quality Management, External Audit, Coaching, Mentoring, Process Improvement, PR & DR, KYC document collection, Stock Management, Terminal Deployment, Inward/Outward/QC of applications, Phone Banking, Correspondence","Commerce, Mumbai University","Extensive experience in operations management within the payment industry, particularly with prepaid cards and POS operations. Held roles such as Manager - Operations and Service Manager - Operations, demonstrating leadership in managing teams, ensuring customer satisfaction, optimizing processes, and handling vendor/client relationships. Proficient in back-end banking operations, risk management, and training. Experienced with various software systems for credit cards, POS machines, ATM NOC, and prepaid cards. Also has experience in customer service roles including email, phone banking, and correspondence.",,753
Operations Manager,Operations Manager,"MS Office, Internet Applications, ERP systems (SAGE, Flotilla, LM ERP, Tally 9, WMS, Exceed 4000), Employee Resource Group, Enterprise Resource Planning, Operations Management, Supply Chain Logistics, Shipping, Imports, Warehousing, Distribution, Vendor Negotiation, Freight Management, Logistics Management, Customs Clearance, Inventory Management, Purchasing, Procurement, Vendor Development, Customer Service, MIS Reporting, Cash Transactions, HR Functions (Recruitment, Interviewing), Export Coordination, Documentation, Billing, Customer Relationship Management, Tracking and Tracing, Problem Solving, ISO Standards, Stock Control, Data Management, Invoicing, Banking, Petty Cashiering","B.Com commerce from Bombay University, Mumbai, Maharashtra; DIM Business Management from IGNOU","Experienced Operations Manager with a strong background in logistics, supply chain, and administrative functions across various industries including insurance, travel, hotel supplies, and freight forwarding. Proven ability to lead teams, manage complex operations, optimize processes, negotiate with vendors, and ensure customer satisfaction. Skilled in ERP systems, financial management, and HR functions. Demonstrated success in streamlining operations, reducing costs, and improving efficiency.",,754
Operations Manager,Operations Manager,"Project Management, Operations Management, Team Leadership, Client Relationship Management, Budget Monitoring, Quality Management, Contract Management, Risk Management, Project Planning, Scheduling, Technical Support, Proposal Development, System Configuration, Application Development, Hardware Engineering, Software Engineering, HMI Development, Testing (Integrated Testing, FAT, Pre-FAT), Documentation, Resource Management, PLC, SCADA, DCS, SIS, FGS, EPKS, TPS, SAP, ISO 9001:2008, Internal Auditing, Communication, Teamwork, Prioritization, Problem Solving, Negotiation, Technical Advising","B.E Electronics, Pune University, August 2000","Experienced Operations Manager with a strong background in project execution and team leadership within the industrial automation and control systems sector. Proven ability to manage complex projects from inception to closeout, including scope review, budget control, client liaison, and quality assurance. Skilled in leading cross-functional teams, optimizing operational efficiency, and ensuring client satisfaction. Prior experience includes significant roles at Delta Controls, Honeywell Automation India Ltd, FOX CONTROLS, and Enercon (India) Limited, where responsibilities ranged from managing large-scale automation projects and leading engineering teams to establishing new business operations and implementing quality management systems. Expertise in various control systems (DCS, SIS, FGS, PLC, SCADA) and project methodologies.",,755
Operations Manager,Operations Manager,"Operations Management, Project Management, Transitions Management, Talent Management, Client KYC, Compliance Monitoring, SOP Drafting, Contract Review, Metrics Reporting, Stakeholder Coordination, Risk and Control Self Assessments (RCSA), Root Cause Analysis, Service Delivery Management, Performance Management, Goal Setting, Hiring, Resource Management, Employee Assistance Program (EAP), Performance Appraisals, Training and Development, E-learning, Brainshark Presentations, Business Vision Communication, Program Metrics, Dashboard Creation, Team Leadership, IT Architecture Collaboration, Project Management Framework Adherence, Application Access Management, Post-project Reviews, Organization Design, Career Path Development, Skill-gap Analysis, Rewards and Recognition Programs, Technical Support, Troubleshooting, Siebel CRM, Proactive Monitoring, MIS Reporting, System Deployment, Application Health Checks, Database Replication, SQL Server Replication, Help Desk Management, Knowledge Base Management, Account Receivables, Credit Control, Escalation Handling, Ledger/Accounts Review, Order Release, Inter-departmental Communication, Mentoring, Conference Call Leadership, Team Motivation, Outbound Calls, Email Communication, Delinquent Payment Collection, One Point Lessons, Performance Reporting, HR SPOC",BCA - Vinayaka Missions University,"Experienced Operations Manager with a strong background in financial services and technology. Proven ability to lead and develop teams, manage daily operations, and drive strategic initiatives. Expertise in operations management, project management, talent management, and client relationship management. Skilled in process improvement, risk management, and performance optimization. Previous roles include Operations Manager at BNY Mellon International Operations (India) Pvt. Ltd., Application Support Engineer Tier II at Wipro Technologies (Client: Microsoft), Account Receivables Senior Associate at Dell Global Financial Services, and a role at GE Capital International Services (GECIS) focusing on delinquent payment collection and team support.",,756
Operations Manager,Operations Manager,"Multi-Operations Management, People Management, Customer Services (Emails), MIS, Vendor & Client Services Management, Cross Functional Coordination, Banking & Financial Services, Transaction Monitoring, ATM Operations, Prepaid Card Operations (Pre-Issuance & Post-Issuance), POS Operations, Communication, Relationship Building, Interpersonal Skills, Analytical, Problem Solving, Organizational Abilities, Leadership, Customer Centric Operations, Service Quality, Risk Analysis, Delinquency Management, Training & Development, SLA Adherence, Field Services Monitoring, Vendor Payment Processing, Project Management, CTL prime, Insight, Ticket Management System, Branch Portal, PIN Generation, Chargeback Cases, Email Customer Services, Transaction Monitoring, BCP Plans, Quality Management, External Audit, Coaching, Mentoring, Process Improvement, PR & DR, KYC document collection, Stock Management, Terminal Deployment, Inward/Outward/QC of applications, Phone Banking, Correspondence","Commerce, Mumbai University","Extensive experience in operations management within the payment industry, particularly with prepaid cards and POS operations. Held roles such as Manager - Operations and Service Manager - Operations, demonstrating leadership in managing teams, ensuring customer satisfaction, optimizing processes, and handling vendor/client relationships. Proficient in back-end banking operations, risk management, and training. Experienced with various software systems for credit cards, POS machines, ATM NOC, and prepaid cards. Also has experience in customer service roles including email, phone banking, and correspondence.",,757
Operations Manager,Operations Manager,"MS Office, Internet Applications, ERP systems (SAGE, Flotilla, LM ERP, Tally 9, WMS, Exceed 4000), Employee Resource Group, Enterprise Resource Planning, Operations Management, Supply Chain Logistics, Shipping, Imports, Warehousing, Distribution, Vendor Negotiation, Freight Management, Logistics Management, Customs Clearance, Inventory Management, Purchasing, Procurement, Vendor Development, Customer Service, MIS Reporting, Cash Transactions, HR Functions (Recruitment, Interviewing), Export Coordination, Documentation, Billing, Customer Relationship Management, Tracking and Tracing, Problem Solving, ISO Standards, Stock Control, Data Management, Invoicing, Banking, Petty Cashiering","B.Com commerce from Bombay University, Mumbai, Maharashtra; DIM Business Management from IGNOU","Experienced Operations Manager with a strong background in logistics, supply chain, and administrative functions across various industries including insurance, travel, hotel supplies, and freight forwarding. Proven ability to lead teams, manage complex operations, optimize processes, negotiate with vendors, and ensure customer satisfaction. Skilled in ERP systems, financial management, and HR functions. Demonstrated success in streamlining operations, reducing costs, and improving efficiency.",,758
Operations Manager,Operations Manager,"Project Management, Operations Management, Team Leadership, Client Relationship Management, Budget Monitoring, Quality Management, Contract Management, Risk Management, Project Planning, Scheduling, Technical Support, Proposal Development, System Configuration, Application Development, Hardware Engineering, Software Engineering, HMI Development, Testing (Integrated Testing, FAT, Pre-FAT), Documentation, Resource Management, PLC, SCADA, DCS, SIS, FGS, EPKS, TPS, SAP, ISO 9001:2008, Internal Auditing, Communication, Teamwork, Prioritization, Problem Solving, Negotiation, Technical Advising","B.E Electronics, Pune University, August 2000","Experienced Operations Manager with a strong background in project execution and team leadership within the industrial automation and control systems sector. Proven ability to manage complex projects from inception to closeout, including scope review, budget control, client liaison, and quality assurance. Skilled in leading cross-functional teams, optimizing operational efficiency, and ensuring client satisfaction. Prior experience includes significant roles at Delta Controls, Honeywell Automation India Ltd, FOX CONTROLS, and Enercon (India) Limited, where responsibilities ranged from managing large-scale automation projects and leading engineering teams to establishing new business operations and implementing quality management systems. Expertise in various control systems (DCS, SIS, FGS, PLC, SCADA) and project methodologies.",,759
Operations Manager,Operations Manager,"Operations Management, Project Management, Transitions Management, Talent Management, Client KYC, Compliance Monitoring, SOP Drafting, Contract Review, Metrics Reporting, Stakeholder Coordination, Risk and Control Self Assessments (RCSA), Root Cause Analysis, Service Delivery Management, Performance Management, Goal Setting, Hiring, Resource Management, Employee Assistance Program (EAP), Performance Appraisals, Training and Development, E-learning, Brainshark Presentations, Business Vision Communication, Program Metrics, Dashboard Creation, Team Leadership, IT Architecture Collaboration, Project Management Framework Adherence, Application Access Management, Post-project Reviews, Organization Design, Career Path Development, Skill-gap Analysis, Rewards and Recognition Programs, Technical Support, Troubleshooting, Siebel CRM, Proactive Monitoring, MIS Reporting, System Deployment, Application Health Checks, Database Replication, SQL Server Replication, Help Desk Management, Knowledge Base Management, Account Receivables, Credit Control, Escalation Handling, Ledger/Accounts Review, Order Release, Inter-departmental Communication, Mentoring, Conference Call Leadership, Team Motivation, Outbound Calls, Email Communication, Delinquent Payment Collection, One Point Lessons, Performance Reporting, HR SPOC",BCA - Vinayaka Missions University,"Experienced Operations Manager with a strong background in financial services and technology. Proven ability to lead and develop teams, manage daily operations, and drive strategic initiatives. Expertise in operations management, project management, talent management, and client relationship management. Skilled in process improvement, risk management, and performance optimization. Previous roles include Operations Manager at BNY Mellon International Operations (India) Pvt. Ltd., Application Support Engineer Tier II at Wipro Technologies (Client: Microsoft), Account Receivables Senior Associate at Dell Global Financial Services, and a role at GE Capital International Services (GECIS) focusing on delinquent payment collection and team support.",,760
Operations Manager,Operations Manager,"Multi-Operations Management, People Management, Customer Services (Emails), MIS, Vendor & Client Services Management, Cross Functional Coordination, Banking & Financial Services, Transaction Monitoring, ATM Operations, Prepaid Card Operations (Pre-Issuance & Post-Issuance), POS Operations, Communication, Relationship Building, Interpersonal Skills, Analytical, Problem Solving, Organizational Abilities, Leadership, Customer Centric Operations, Service Quality, Risk Analysis, Delinquency Management, Training & Development, SLA Adherence, Field Services Monitoring, Vendor Payment Processing, Project Management, CTL prime, Insight, Ticket Management System, Branch Portal, PIN Generation, Chargeback Cases, Email Customer Services, Transaction Monitoring, BCP Plans, Quality Management, External Audit, Coaching, Mentoring, Process Improvement, PR & DR, KYC document collection, Stock Management, Terminal Deployment, Inward/Outward/QC of applications, Phone Banking, Correspondence","Commerce, Mumbai University","Extensive experience in operations management within the payment industry, particularly with prepaid cards and POS operations. Held roles such as Manager - Operations and Service Manager - Operations, demonstrating leadership in managing teams, ensuring customer satisfaction, optimizing processes, and handling vendor/client relationships. Proficient in back-end banking operations, risk management, and training. Experienced with various software systems for credit cards, POS machines, ATM NOC, and prepaid cards. Also has experience in customer service roles including email, phone banking, and correspondence.",,761
Operations Manager,Operations Manager,"MS Office, Internet Applications, ERP systems (SAGE, Flotilla, LM ERP, Tally 9, WMS, Exceed 4000), Employee Resource Group, Enterprise Resource Planning, Operations Management, Supply Chain Logistics, Shipping, Imports, Warehousing, Distribution, Vendor Negotiation, Freight Management, Logistics Management, Customs Clearance, Inventory Management, Purchasing, Procurement, Vendor Development, Customer Service, MIS Reporting, Cash Transactions, HR Functions (Recruitment, Interviewing), Export Coordination, Documentation, Billing, Customer Relationship Management, Tracking and Tracing, Problem Solving, ISO Standards, Stock Control, Data Management, Invoicing, Banking, Petty Cashiering","B.Com commerce from Bombay University, Mumbai, Maharashtra; DIM Business Management from IGNOU","Experienced Operations Manager with a strong background in logistics, supply chain, and administrative functions across various industries including insurance, travel, hotel supplies, and freight forwarding. Proven ability to lead teams, manage complex operations, optimize processes, negotiate with vendors, and ensure customer satisfaction. Skilled in ERP systems, financial management, and HR functions. Demonstrated success in streamlining operations, reducing costs, and improving efficiency.",,762
Operations Manager,Operations Manager,"Project Management, Operations Management, Team Leadership, Client Relationship Management, Budget Monitoring, Quality Management, Contract Management, Risk Management, Project Planning, Scheduling, Technical Support, Proposal Development, System Configuration, Application Development, Hardware Engineering, Software Engineering, HMI Development, Testing (Integrated Testing, FAT, Pre-FAT), Documentation, Resource Management, PLC, SCADA, DCS, SIS, FGS, EPKS, TPS, SAP, ISO 9001:2008, Internal Auditing, Communication, Teamwork, Prioritization, Problem Solving, Negotiation, Technical Advising","B.E Electronics, Pune University, August 2000","Experienced Operations Manager with a strong background in project execution and team leadership within the industrial automation and control systems sector. Proven ability to manage complex projects from inception to closeout, including scope review, budget control, client liaison, and quality assurance. Skilled in leading cross-functional teams, optimizing operational efficiency, and ensuring client satisfaction. Prior experience includes significant roles at Delta Controls, Honeywell Automation India Ltd, FOX CONTROLS, and Enercon (India) Limited, where responsibilities ranged from managing large-scale automation projects and leading engineering teams to establishing new business operations and implementing quality management systems. Expertise in various control systems (DCS, SIS, FGS, PLC, SCADA) and project methodologies.",,763
Operations Manager,Operations Manager,"Operations Management, Project Management, Transitions Management, Talent Management, Client KYC, Compliance Monitoring, SOP Drafting, Contract Review, Metrics Reporting, Stakeholder Coordination, Risk and Control Self Assessments (RCSA), Root Cause Analysis, Service Delivery Management, Performance Management, Goal Setting, Hiring, Resource Management, Employee Assistance Program (EAP), Performance Appraisals, Training and Development, E-learning, Brainshark Presentations, Business Vision Communication, Program Metrics, Dashboard Creation, Team Leadership, IT Architecture Collaboration, Project Management Framework Adherence, Application Access Management, Post-project Reviews, Organization Design, Career Path Development, Skill-gap Analysis, Rewards and Recognition Programs, Technical Support, Troubleshooting, Siebel CRM, Proactive Monitoring, MIS Reporting, System Deployment, Application Health Checks, Database Replication, SQL Server Replication, Help Desk Management, Knowledge Base Management, Account Receivables, Credit Control, Escalation Handling, Ledger/Accounts Review, Order Release, Inter-departmental Communication, Mentoring, Conference Call Leadership, Team Motivation, Outbound Calls, Email Communication, Delinquent Payment Collection, One Point Lessons, Performance Reporting, HR SPOC",BCA - Vinayaka Missions University,"Experienced Operations Manager with a strong background in financial services and technology. Proven ability to lead and develop teams, manage daily operations, and drive strategic initiatives. Expertise in operations management, project management, talent management, and client relationship management. Skilled in process improvement, risk management, and performance optimization. Previous roles include Operations Manager at BNY Mellon International Operations (India) Pvt. Ltd., Application Support Engineer Tier II at Wipro Technologies (Client: Microsoft), Account Receivables Senior Associate at Dell Global Financial Services, and a role at GE Capital International Services (GECIS) focusing on delinquent payment collection and team support.",,764
